comparison_type,model_source,layer,emotion_or_group,estimate_name,cosine,explained_fraction,ci_low,ci_high,p_value,q_value,max_stat_p_value,null_p95,reliability,pca_status,effective_rank,condition_number,gate_passed,confirmatory,notes,row_label
split_reliability,aligned,0,angry,reliability,,,,,,,,,0.5486980769492701,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: angry
split_reliability,aligned,1,angry,reliability,,,,,,,,,0.561161796309772,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: angry
split_reliability,aligned,2,angry,reliability,,,,,,,,,0.5642184623758314,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: angry
split_reliability,aligned,3,angry,reliability,,,,,,,,,0.5832685374528657,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: angry
split_reliability,aligned,4,angry,reliability,,,,,,,,,0.581012871073091,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: angry
split_reliability,aligned,5,angry,reliability,,,,,,,,,0.5897132242661344,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: angry
split_reliability,aligned,6,angry,reliability,,,,,,,,,0.632296321189199,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: angry
split_reliability,aligned,7,angry,reliability,,,,,,,,,0.6684522221054102,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: angry
split_reliability,aligned,8,angry,reliability,,,,,,,,,0.6843456196770867,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: angry
split_reliability,aligned,9,angry,reliability,,,,,,,,,0.6914651529792224,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: angry
split_reliability,aligned,10,angry,reliability,,,,,,,,,0.7444473681015135,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: angry
split_reliability,aligned,11,angry,reliability,,,,,,,,,0.722025448444613,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: angry
split_reliability,aligned,12,angry,reliability,,,,,,,,,0.7107070263475402,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: angry
split_reliability,aligned,13,angry,reliability,,,,,,,,,0.7456856706850503,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: angry
split_reliability,aligned,14,angry,reliability,,,,,,,,,0.7356736797077299,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: angry
split_reliability,aligned,15,angry,reliability,,,,,,,,,0.7428684168281589,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: angry
split_reliability,aligned,16,angry,reliability,,,,,,,,,0.7615536713373228,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: angry
split_reliability,aligned,17,angry,reliability,,,,,,,,,0.7554004887847103,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: angry
